timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Sakaryaspor,Keçiörengücü,Ozan Ergün,1,0.00,0.00,1.84,1.53,1,1,2,0,0,0,"55","49",4,4,1,0,2,0,0,1,0,2,9,7,4,3,5,4,3,2,59,41,0.00,0.00,1.00,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.01,3.44,1.32,1.98,3.49,6.94,1.85,1.90,Siltaş Yapı Pendik Stadyumu (İstanbul)
1723306500,Aug 10 2024 - 4:15pm,complete,N/A,İstanbulspor,Manisa BBSK,Ömer Tolga Güldibi,1,0.00,0.00,2.28,1.32,3,2,5,3,2,1,"15,44,52","25,83",9,4,1,0,3,0,1,0,2,1,12,9,7,4,2,1,12,23,54,46,0.00,0.00,1.58,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.80,4.33,1.25,1.75,3.00,5.50,1.73,2.00,Esenyurt Necmi Kadıoğlu Stadyumu (İstanbul)
1723306500,Aug 10 2024 - 4:15pm,complete,N/A,Yeni Malatyaspor,Pendikspor,Ömer Faruk Gültekin,1,0.00,0.00,0.00,1.11,0,3,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spoint Ümraniye Stadyumu (İstanbul)
1723315500,Aug 10 2024 - 6:45pm,complete,N/A,Kocaelispor,Gençlerbirliği,Yasin Kol,1,0.00,0.00,2.11,1.47,2,1,3,1,0,1,"49,57","31",3,8,3,0,3,0,2,1,0,3,12,12,8,6,4,3,9,13,51,49,0.00,0.00,1.67,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.40,4.33,1.36,2.00,3.75,7.50,1.90,1.86,Yıldız Entegre Kocaeli Stadyumu (Kocaeli)
1723315500,Aug 10 2024 - 6:45pm,complete,N/A,Adanaspor,Erokspor,Erdem Mertoğlu,1,0.00,0.00,0.89,1.21,2,1,3,1,1,0,"14,55","78",3,2,2,0,2,0,0,2,1,1,10,18,6,6,4,6,12,6,37,63,0.00,0.00,1.33,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.18,2.86,1.36,2.10,4.00,8.00,1.83,1.83,Yeni Adana Stadyumu (Adana)
1723384800,Aug 11 2024 - 2:00pm,complete,N/A,Bandırmaspor,BB Erzurumspor,Burak Olcar,1,0.00,0.00,2.11,1.58,3,2,5,0,0,0,"54,71,82","59,69",4,6,3,1,1,0,0,4,0,1,12,10,7,4,4,4,8,21,62,38,0.00,0.00,1.53,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.12,4.73,1.36,2.04,3.75,7.50,1.95,1.83,Bandırma 17 Eylül Stadı (Bandırma)
1723392900,Aug 11 2024 - 4:15pm,complete,N/A,Boluspor,76 Iğdır Belediyespor,Ayberk Demirbaş,1,0.00,0.00,1.79,1.26,0,1,1,1,0,1,"","36",4,2,1,0,4,0,0,1,0,4,11,5,0,2,7,3,10,16,60,40,0.00,0.00,1.00,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.40,3.70,1.44,2.21,4.50,9.50,2.00,1.73,Bolu Atatürk Stadyumu (Bolu)
1723392900,Aug 11 2024 - 4:15pm,complete,N/A,Fatih Karagümrük,Amed,Kadir Sağlam,1,0.00,0.00,2.00,1.26,0,0,0,0,0,0,"","",1,3,1,0,2,0,0,1,2,0,14,3,4,2,6,1,14,14,48,52,0.00,0.00,1.29,0.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.70,4.10,1.21,1.72,2.75,5.00,1.80,1.91,Atatürk Olimpiyat Stadı (İstanbul)
1723401900,Aug 11 2024 - 6:45pm,complete,N/A,Ankaragücü,Şanlıurfaspor,Oğuzhan Aksu,1,0.00,0.00,1.74,0.84,2,0,2,0,0,0,"51,77","",5,0,1,0,0,0,0,1,0,0,17,6,7,3,5,2,8,9,65,35,0.00,0.00,1.64,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.10,9.35,1.18,1.65,2.60,4.60,2.00,1.73,Eryaman Stadyumu (Ankara)
1723485600,Aug 12 2024 - 6:00pm,complete,N/A,Ümraniyespor,Çorum Belediyespor,Süleyman Bahadır,1,0.00,0.00,1.68,1.11,3,0,3,1,1,0,"28,55,86","",3,3,0,0,1,0,0,0,0,1,11,8,4,0,3,5,13,11,42,58,0.00,0.00,1.08,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.10,2.38,1.33,1.91,3.60,6.50,1.78,2.00,Spoint Ümraniye Stadyumu (İstanbul)
