timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1722623400,Aug 02 2024 - 6:30pm,complete,50000,Köln,Hamburger SV,Max Burda,1,0.00,0.00,1.75,1.50,1,2,3,2,0,2,"78","5,35",6,3,2,0,2,0,1,1,1,1,29,11,5,7,13,1,17,7,60,40,0.00,0.00,2.21,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.70,2.88,1.22,1.70,2.33,5.00,1.57,2.25,RheinEnergieSTADION (Köln)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Karlsruher SC,Nürnberg,Robin Braun,1,0.00,0.00,1.67,1.15,3,2,5,3,1,2,"45'2,73,79","20,31",7,3,2,0,4,0,1,1,1,3,16,16,6,6,6,5,15,12,53,47,0.00,0.00,1.60,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.98,4.04,1.22,1.68,2.85,5.00,1.62,2.20,BBBank Wildpark (Karlsruhe)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Hannover 96,Jahn Regensburg,Michael Bacher,1,0.00,0.00,2.00,0.08,2,0,2,2,2,0,"11,23","",5,3,1,0,0,0,0,1,0,0,18,11,6,4,6,6,12,17,54,46,0.00,0.00,1.50,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,4.05,4.49,1.22,1.63,2.80,5.00,1.67,2.10,Heinz von Heiden-Arena (Hannover)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Hertha BSC,Paderborn,Wolfgang Haslberger,1,0.00,0.00,0.67,1.69,1,2,3,1,0,1,"72","42,48",1,8,2,0,1,0,1,1,0,1,11,12,5,5,3,4,16,8,59,41,0.00,0.00,1.29,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.97,3.92,3.46,1.18,1.53,2.25,4.00,1.50,2.50,Olympiastadion Berlin (Berlin)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Magdeburg,Elversberg,Florian Heft,1,0.00,0.00,1.08,1.42,0,0,0,0,0,0,"","",11,1,3,0,2,0,1,2,0,2,21,9,7,3,9,4,11,8,60,40,0.00,0.00,1.96,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.84,3.59,1.20,1.62,2.65,4.50,1.57,2.25,Avnet Arena (Magdeburg)
1722709800,Aug 03 2024 - 6:30pm,complete,N/A,Schalke 04,Eintracht Braunschweig,Tobias Stieler,1,0.00,0.00,1.42,0.54,5,1,6,3,2,1,"9,25,73,82,83","32",3,3,2,0,2,0,0,2,1,1,15,12,9,7,4,5,13,12,56,44,0.00,0.00,1.71,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,3.60,4.60,1.26,1.60,3.25,6.50,1.73,2.00,VELTINS-Arena (Gelsenkirchen)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Darmstadt 98,Fortuna Düsseldorf,Robert Kampka,1,0.00,0.00,1.46,1.83,0,2,2,0,0,0,"","55,86",7,6,2,1,2,0,0,3,0,2,13,12,7,5,3,5,16,7,45,55,0.00,0.00,1.43,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.40,2.50,1.22,1.70,2.80,5.00,1.57,2.25,Merck-Stadion am Böllenfalltor (Darmstadt)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Greuther Fürth,Preußen Münster,Richard Hempel,1,0.00,0.00,1.38,0.83,3,1,4,2,1,1,"25,50,55","41",6,5,1,0,2,0,1,0,0,2,22,15,10,5,10,10,9,11,47,53,0.00,0.00,2.28,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.50,4.00,1.22,1.70,2.85,5.00,1.62,2.20,Sportpark Ronhof Thomas Sommer (Fürth)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Ulm,Kaiserslautern,Robert Schröder,1,0.00,0.00,0.83,1.67,1,2,3,0,0,0,"48","77,83",6,7,2,0,3,0,1,1,0,3,12,14,4,6,6,6,12,16,50,50,0.00,0.00,1.22,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.40,2.50,1.25,1.77,3.00,5.50,1.62,2.20,Donaustadion (Ulm)
1723221000,Aug 09 2024 - 4:30pm,complete,N/A,Kaiserslautern,Greuther Fürth,Florian Lechner,2,0.00,0.00,1.77,1.25,2,2,4,3,1,2,"45'1,84","31,38",8,5,3,0,1,0,2,1,0,1,15,15,8,8,6,4,10,14,56,44,0.00,0.00,1.80,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.71,3.64,1.22,1.61,2.30,4.75,1.57,2.30,Fritz-Walter-Stadion (Kaiserslautern)
1723221000,Aug 09 2024 - 4:30pm,complete,N/A,Jahn Regensburg,Ulm,Lukas Benen,2,0.00,0.00,1.15,0.69,1,0,1,1,1,0,"34","",5,4,3,0,2,0,1,2,1,1,8,12,2,5,4,1,23,16,46,54,0.00,0.00,0.79,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.52,3.55,2.62,1.22,1.61,2.70,4.75,1.53,2.38,Jahnstadion Regensburg (Regensburg)
1723287600,Aug 10 2024 - 11:00am,complete,N/A,Fortuna Düsseldorf,Karlsruher SC,Robert Hartmann,2,0.00,0.00,1.23,1.23,0,0,0,0,0,0,"","",7,4,2,0,1,0,0,2,1,0,21,10,6,3,12,4,6,7,51,49,0.00,0.00,1.99,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.97,3.66,1.18,1.55,2.25,3.85,1.45,2.50,Merkur Spiel-Arena (Düsseldorf)
1723287600,Aug 10 2024 - 11:00am,complete,N/A,Elversberg,Köln,Tom Bauer,2,0.00,0.00,1.77,1.77,2,2,4,1,0,1,"46,62","21,84",4,13,3,0,2,0,1,2,1,1,10,23,4,10,3,4,13,13,44,56,0.00,0.00,0.94,2.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.75,2.00,1.21,1.62,2.76,5.05,1.67,2.10,URSAPHARM-Arena an der Kaiserlinde (Spiesen-Elversberg)
1723287600,Aug 10 2024 - 11:00am,complete,N/A,Nürnberg,Schalke 04,Nicolas Winter,2,0.00,0.00,1.92,1.23,3,1,4,1,0,1,"47,56,76","45",1,7,2,1,3,1,2,1,2,2,9,16,6,4,2,11,12,11,49,51,0.00,0.00,1.09,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.60,2.20,1.18,1.57,2.40,4.20,1.47,2.55,Max-Morlock-Stadion (Nürnberg)
1723314600,Aug 10 2024 - 6:30pm,complete,N/A,Hamburger SV,Hertha BSC,Timo Gerach,2,0.00,0.00,2.08,1.38,1,1,2,1,1,0,"11","86",9,11,2,0,2,0,1,1,1,1,12,14,3,5,6,5,9,8,41,59,0.00,0.00,1.09,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,4.56,4.32,1.11,1.36,1.88,3.10,1.38,2.90,Volksparkstadion (Hamburg)
1723375800,Aug 11 2024 - 11:30am,complete,N/A,Paderborn,Darmstadt 98,Patrick Schwengers,2,0.00,0.00,1.67,1.00,3,1,4,1,0,1,"53,64,83","7",7,6,1,0,1,0,1,0,0,1,20,16,7,8,4,5,8,11,53,47,0.00,0.00,1.49,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.08,3.65,3.15,1.16,1.60,2.43,4.25,1.57,2.25,Home Deluxe Arena (Paderborn)
1723375800,Aug 11 2024 - 11:30am,complete,N/A,Eintracht Braunschweig,Magdeburg,Tobias Reichel,2,0.00,0.00,1.33,2.23,1,3,4,1,0,1,"67","13,55,59",10,2,0,0,1,0,0,0,0,1,22,12,9,6,9,3,8,15,51,49,0.00,0.00,2.14,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.20,2.65,1.33,2.00,3.50,7.00,1.73,2.00,Eintracht-Stadion (Braunschweig)
1723375800,Aug 11 2024 - 11:30am,complete,N/A,Preußen Münster,Hannover 96,Lars Erbst,2,0.00,0.00,1.00,1.08,0,0,0,0,0,0,"","",7,6,3,0,1,0,1,2,1,0,15,10,6,2,4,7,13,11,45,55,0.00,0.00,1.26,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.60,2.14,1.17,1.71,2.51,4.50,1.57,2.25,Preußen-Stadion (Münster)
