timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Galatasaray,Hatayspor,Turgut Doman,1,0.00,0.00,2.54,0.42,2,1,3,0,0,0,"80,90","52",12,2,0,0,3,0,0,0,0,3,27,11,10,5,11,5,11,15,71,29,0.00,0.00,2.66,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,6.63,9.93,1.09,1.34,1.99,3.25,1.77,1.95,RAMS Park (İstanbul)
1723306500,Aug 10 2024 - 4:15pm,complete,N/A,Kasımpaşa,Konyaspor,Muhammetali Metoğlu,1,0.00,0.00,1.17,0.79,2,3,5,1,0,1,"48,74","7,81,89",2,7,5,0,3,0,2,3,1,2,9,12,3,5,5,4,11,11,60,40,0.00,0.00,0.96,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.12,3.38,3.41,1.27,1.94,3.25,6.09,1.70,2.05,Recep Tayyip Erdoğan Stadyumu (İstanbul)
1723315500,Aug 10 2024 - 6:45pm,complete,N/A,Antalyaspor,Göztepe,Zorbay Küçük,1,0.00,0.00,1.85,0.54,0,0,0,0,0,0,"","",4,6,2,0,1,0,1,1,0,1,14,11,4,3,7,6,8,21,63,37,0.00,0.00,1.29,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.79,3.83,1.22,1.71,3.00,5.20,1.65,2.10,Corendon Airlines Park (Antalya)
1723315500,Aug 10 2024 - 6:45pm,complete,N/A,Fenerbahçe,Adana Demirspor,Atilla Karaoğlan,1,0.00,0.00,2.75,0.38,1,0,1,1,1,0,"34","",9,4,2,0,2,0,1,1,2,0,13,7,6,0,3,3,16,12,53,47,0.00,0.00,1.44,0.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.10,10.55,16.31,1.05,1.28,1.65,2.55,1.77,1.93,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi (İstanbul)
1723392900,Aug 11 2024 - 4:15pm,complete,N/A,Sivasspor,Trabzonspor,Cihan Aydın,1,0.00,0.00,1.43,0.42,0,0,0,0,0,0,"","",5,7,1,0,0,0,1,0,0,0,15,17,6,3,7,9,12,11,32,68,0.00,0.00,1.50,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.94,3.48,2.31,1.27,1.82,3.25,6.09,1.73,2.00,BG Group 4 Eylül Stadyumu (Sivas)
1723401900,Aug 11 2024 - 6:45pm,complete,N/A,Alanyaspor,Eyüpspor,Oğuzhan Çakır,1,0.00,0.00,1.62,1.23,1,1,2,0,0,0,"76","64",6,1,1,0,1,0,0,1,1,0,15,7,8,3,5,3,6,12,62,38,0.00,0.00,1.78,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.60,3.77,1.25,1.76,3.06,5.70,1.65,2.10,Kırbıyık Holding Stadyumu (Alanya)
1723401900,Aug 11 2024 - 6:45pm,complete,N/A,Samsunspor,Beşiktaş,Ali Şansalan,1,0.00,0.00,2.00,1.50,0,2,2,2,0,2,"","31,36",6,2,2,0,1,0,2,0,1,0,20,11,5,3,12,4,11,10,58,42,0.00,0.00,1.86,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.92,3.73,1.86,1.29,1.82,3.33,6.89,1.80,1.91,Samsun Yeni 19 Mayıs Stadyumu (Samsun)
1723485600,Aug 12 2024 - 6:00pm,complete,N/A,Rizespor,İstanbul Başakşehir,Direnç Tonusluoğlu,1,0.00,0.00,1.50,0.92,1,1,2,2,1,1,"45'6","39",12,1,0,0,2,0,0,0,0,2,24,7,6,2,10,3,14,14,59,41,0.00,0.00,1.86,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.30,2.25,1.26,1.80,3.02,5.70,1.65,2.15,Çaykur Didi Stadyumu (Rize)
1723485600,Aug 12 2024 - 6:00pm,complete,N/A,BB Bodrumspor,Gazişehir Gaziantep,Mehmet Türkmen,1,0.00,0.00,1.38,0.67,0,1,1,0,0,0,"","90'7",4,1,2,0,1,1,1,1,0,2,17,8,4,2,12,4,13,9,62,38,0.00,0.00,1.83,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.40,2.94,1.29,1.91,3.44,6.89,1.70,2.00,Bodrum İlçe Stadı (Bodrum)
1723831200,Aug 16 2024 - 6:00pm,complete,N/A,Konyaspor,Galatasaray,Direnç Tonusluoğlu,2,0.00,0.00,1.42,2.69,1,2,3,2,1,1,"45","41,59",5,8,1,0,1,0,0,1,0,1,18,9,4,5,10,3,5,17,41,59,0.00,0.00,1.48,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.25,4.40,1.50,1.22,1.70,2.80,5.17,1.78,1.99,Medaş Konya Büyükşehir Stadyumu (Konya)
1723911300,Aug 17 2024 - 4:15pm,complete,N/A,Kayserispor,Sivasspor,Turgut Doman,2,0.00,0.00,1.23,0.58,1,2,3,2,1,1,"14","17,50",5,4,1,0,2,1,1,0,1,2,21,10,8,5,9,3,14,13,68,32,0.00,0.00,2.02,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.30,3.20,1.30,1.75,3.35,6.50,1.70,2.05,RHG Enertürk Enerji Stadyumu (Kayseri)
1723920300,Aug 17 2024 - 6:45pm,complete,N/A,Göztepe,Fenerbahçe,Kadir Sağlam,2,0.00,0.00,2.42,2.15,2,2,4,2,0,2,"68,90'5","45'3,45'7",5,5,3,0,3,0,0,3,0,3,16,15,8,6,6,6,19,12,45,55,0.00,0.00,1.71,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.35,1.77,2.34,1.25,1.85,3.12,6.09,2.20,1.60,Göztepe Gürsel Aksel Stadı (İzmir)
1723920300,Aug 17 2024 - 6:45pm,complete,N/A,Adana Demirspor,Rizespor,Cihan Aydın,2,0.00,0.00,0.38,1.07,1,2,3,1,0,1,"90'8","41,74",1,6,2,0,0,0,0,2,0,0,12,13,5,6,5,6,14,16,53,47,0.00,0.00,1.28,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.50,2.87,1.17,1.56,2.20,4.12,1.45,2.55,Yeni Adana Stadyumu (Adana)
1723997700,Aug 18 2024 - 4:15pm,complete,N/A,İstanbul Başakşehir,Alanyaspor,Arda Kardeşler,2,0.00,0.00,1.92,0.77,4,2,6,3,1,2,"17,53,90,90'5","26,45'3",4,4,4,0,3,0,2,2,1,2,12,15,8,5,3,5,17,11,47,53,0.00,0.00,1.45,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.43,3.47,1.29,1.83,3.44,6.89,1.75,1.95,Başakşehir Fatih Terim Stadyumu (İstanbul)
1724006700,Aug 18 2024 - 6:45pm,complete,N/A,Gazişehir Gaziantep,Samsunspor,Emre Kargin,2,0.00,0.00,2.08,1.85,0,1,1,1,0,1,"","5",6,3,3,0,3,0,2,1,0,3,18,14,7,5,4,7,10,12,48,52,0.00,0.00,1.55,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.21,2.91,1.34,2.00,3.82,7.76,1.80,1.91,Kalyon Stadyumu (Gaziantep)
1724006700,Aug 18 2024 - 6:45pm,complete,N/A,Beşiktaş,Antalyaspor,Mehmet Türkmen,2,0.00,0.00,2.00,0.69,4,2,6,3,2,1,"13,23,56,90'5","1,51",3,0,4,0,1,1,0,4,0,2,15,8,7,4,5,2,17,13,56,44,0.00,0.00,1.63,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,4.00,4.86,1.17,1.61,2.51,4.45,1.80,1.91,Tüpraş Stadyumu (İstanbul)
