team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Stoke City FC,Stoke City,2024/2025,England,4,1,3,0,2,0,2,1,1,0,1,0,1,1.75,1,2,0,4,4,7,10,4,6,14,2,12,1,9,1,3,0,6,36,90,30,90,90,90,2,0,2,2,1,1,0,0,0,3,1,2,19,12,7,6,4,2,46,65,40,47,17,30,21,5,16,26,12,14,40,9,31,2,0,2,2,0,2,0,0,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,3.5,2,4,2.5,1,3,1,1,1,1,0,1.33,0.5,0,0.67,0.5,0,0.67,4,4,2,2,2,0,1,1,0,0,0,0,3,3,2,2,2,0,0,0,2,2,2,4,0,0,1,1,1,1,0,0,1,1,1,3,100,100,50,50,50,0,100,100,0,0,0,0,100,100,67,67,67,0,0,0,50,50,50,100,0,0,100,100,100,100,0,0,33,33,33,100,2,1,1,0,0,0,2,1,1,50,25,25,0,0,0,67,33,33,50,0,67,0,50,0,67,50,100,33,0,0,0,75,100,67,3,1,2,75,100,67,2,1,1,50,100,33,1,0,1,25,0,33,25,0,33,50,100,33,25,0,33,4.75,12.00,2.33,1.5,4,0.67,75,50,50,50,25,25,25,25,1.33,1.77,1.18,1.31,0.77,1.49,125,0,1,0,0,2,4,2,1,0,0,1,0,1,0,0,0,0,2,25,100,0,25,0,33,0
Swansea City AFC,Swansea City,2024/2025,Wales,2,2,0,0,1,1,0,0,0,0,1,1,0,1.5,1.5,0,0,17,17,34,3,2,1,5,5,0,3,0,2,0,1,0,60,60,0,90,90,0,0,0,0,1,1,0,1,1,0,1,1,0,14,14,0,3,3,0,76,76,0,17,17,0,10,10,0,7,7,0,22,22,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1.5,1.5,0,2.5,2.5,0,1.5,1.5,0,1,1,0,1,1,0,0.5,0.5,0,0.5,0.5,0,2,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,1,1,1,2,2,0,0,0,0,0,0,100,50,50,50,0,0,100,50,50,50,0,0,0,0,0,0,0,0,0,50,50,50,100,100,0,50,50,50,100,100,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,100,0,0,100,0,0,0,0,0,50,50,0,0,0,0,0,50,50,0,50,50,0,50,50,0,1,1,0,50,50,0,1,1,0,50,50,0,0,0,0,0,0,0,50,50,0,0,0,0,50,50,0,7.00,7.00,0.00,1.5,1.5,0.00,50,50,0,0,0,0,0,0,1.04,1.54,0.00,0.18,0.68,0.00,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,50,50,0,0
Watford FC,Watford,2024/2025,England,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,0,18,18,13,8,2,6,10,7,3,7,1,0,2,7,-1,34,26,90,134,0,45,2,2,0,1,0,1,0,0,0,2,2,0,22,21,1,4,4,0,45,53,28,36,31,5,23,21,2,13,10,3,33,27,6,3,3,0,2,0,2,1,3,-2,2,2,0,0,0,0,1,0,1,2,3,0,3.33,3.5,3,2.67,3.5,1,0.67,0,2,1.67,1.5,2,1,1.5,0,0.67,0,2,3,3,2,1,1,0,2,2,1,1,1,0,1,1,1,0,0,0,0,0,1,2,2,3,0,0,1,1,1,2,0,0,0,1,1,1,100,100,67,33,33,0,100,100,50,50,50,0,100,100,100,0,0,0,0,0,33,67,67,100,0,0,50,50,50,100,0,0,0,100,100,100,3,2,0,2,1,0,1,1,0,100,67,0,100,50,0,100,100,0,67,100,0,66,67,100,0,33,0,100,0,0,0,67,100,0,2,2,0,67,100,0,1,0,1,33,0,100,0,0,0,0,0,0,67,100,0,0,0,0,33,0,100,7.33,10.50,1.00,1.33,2,0.00,100,100,100,100,100,33,33,33,1.65,2.14,0.68,1.39,0.91,2.36,67,0,1,1,0,1,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,33,0,100,0
Norwich City FC,Norwich City,2024/2025,England,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,22,22,48,4,7,-3,11,7,4,4,0,3,4,1,-4,45,23,0,26,30,23,0,0,0,1,1,0,1,0,1,1,1,0,8,8,0,2,2,0,61,65,56,19,12,7,11,7,4,8,5,3,17,12,5,2,2,0,3,2,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,5.5,7,4,2,4,0,3.5,3,4,2.5,4,1,1,2,0,1.5,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,100,100,2,1,1,1,1,1,1,0,0,100,50,50,100,100,100,100,0,0,50,100,0,57,0,0,0,50,100,0,50,0,100,50,100,0,0,0,0,0,0,0,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,50,100,0,50,0,100,4.00,8.00,0.00,1,2,0.00,50,50,50,50,50,0,0,0,1.24,1.52,0.96,1.23,1.07,1.38,100,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,2,0,0,0,50,0,100,0
Queens Park Rangers FC,Queens Park Rangers,2024/2025,England,3,2,1,0,1,0,1,1,1,0,1,1,0,1.33,0.5,3,0,23,23,25,4,4,0,8,5,3,2,2,3,1,-1,1,68,90,45,68,60,90,0,0,0,3,2,1,0,0,0,2,1,1,12,7,5,9,7,2,45,47,41,25,15,10,16,11,5,9,4,5,43,29,14,3,1,2,2,2,0,1,-1,2,1,0,1,1,1,0,1,1,0,1.33,0.5,3,2.67,2.5,3,1.33,1,2,1.33,1.5,1,1.67,1.5,2,1,0.5,2,0.67,1,0,3,3,2,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,67,0,0,0,100,100,50,0,0,0,100,100,100,0,0,0,0,0,33,100,100,100,0,0,50,100,100,100,0,0,0,100,100,100,3,2,0,2,1,0,1,1,0,100,67,0,100,50,0,100,100,0,33,0,100,-19,0,0,0,100,100,100,0,0,0,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,1,1,0,33,50,0,33,0,100,33,50,0,33,50,0,4.00,3.50,5.00,3,3.5,2.00,100,100,33,33,33,33,33,0,1.16,1.13,1.23,1.53,1.52,1.55,100,0,2,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,33,50,0,33,50,0,0
Cardiff City FC,Cardiff City,2024/2025,Wales,2,2,0,0,1,1,0,0,0,0,1,1,0,1.5,1.5,0,0,24,24,41,5,5,0,10,10,0,5,0,5,0,0,0,36,36,0,36,36,0,1,1,0,1,1,0,0,0,0,1,1,0,13,13,0,3,3,0,44,44,0,20,20,0,14,14,0,6,6,0,24,24,0,1,1,0,2,2,0,-1,-1,0,0,0,0,1,1,0,1,1,0,0.5,0.5,0,5,5,0,2.5,2.5,0,2.5,2.5,0,1.5,1.5,0,0.5,0.5,0,1,1,0,2,2,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,50,50,50,50,100,100,50,50,50,50,0,0,0,0,0,0,0,0,50,50,50,50,0,0,50,50,50,50,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,50,50,50,50,50,50,0,0,0,50,50,0,0,50,50,0,50,50,0,0,0,0,50,50,0,1,1,0,50,50,0,1,1,0,50,50,0,1,1,0,50,50,0,0,0,0,50,50,0,50,50,0,6.50,6.50,0.00,1.5,1.5,0.00,100,100,100,50,50,50,0,0,0.86,1.36,0.00,0.78,1.28,0.00,100,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,50,50,0,0
Birmingham City FC,Birmingham City,2024/2025,England,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,26,26,42,1,2,-1,3,2,1,0,1,2,0,-2,1,180,0,90,90,45,0,1,0,1,0,0,0,1,1,0,1,0,1,14,11,3,4,1,3,60,57,63,25,12,13,13,5,8,12,7,5,24,16,8,1,0,1,2,2,0,-1,-2,1,1,0,1,0,0,0,1,1,0,1.5,0,3,1.5,2,1,0.5,0,1,1,2,0,1.5,2,1,0.5,0,1,1,2,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,0,0,1,1,1,1,0,1,1,1,1,1,100,50,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,50,100,100,100,100,0,0,100,100,100,100,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,50,0,100,-100,50,0,100,0,0,0,50,100,0,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,0,0,0,50,100,0,7.00,11.00,3.00,2,1,3.00,50,50,50,50,50,50,50,50,1.64,1.53,1.76,0.90,0.72,1.08,50,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,100,0,0
Bristol City FC,Bristol City,2024/2025,England,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,27,27,63,0,1,-1,1,1,0,0,0,1,0,-1,0,0,0,0,90,90,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,0,2,2,0,52,52,0,14,14,0,7,7,0,7,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,9.00,9.00,0.00,2,2,0.00,100,100,100,100,100,100,100,100,0.66,1.66,0.00,0.23,1.23,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,100,0,100
Burton Albion FC,Burton Albion,2024/2025,England,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,28,28,90,0,4,-4,4,4,0,0,0,4,0,-4,0,0,0,0,23,23,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,0,3,3,0,38,38,0,4,4,0,3,3,0,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,7.00,7.00,0.00,3,3,0.00,100,100,100,100,100,100,100,0,0.00,0.66,0.00,1.84,2.84,0.00,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,100,100,0,0
Rotherham United FC,Rotherham United,2024/2025,England,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,32,32,40,3,3,0,6,3,3,2,1,1,2,1,-1,60,45,90,60,90,45,0,0,0,2,1,1,0,0,0,1,0,1,15,11,4,3,1,2,54,52,55,37,24,13,17,11,6,20,13,7,29,17,12,1,0,1,2,0,2,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,3,3,3,1.5,2,1,1.5,1,2,1.5,0,3,0.5,0,1,1,0,2,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,1,1,1,0,0,0,1,1,1,50,50,50,0,0,0,100,100,100,50,100,0,33,0,0,0,100,100,100,0,0,0,50,0,100,1,1,0,50,100,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,50,100,0,50,0,100,7.50,11.00,4.00,1.5,1,2.00,100,50,50,50,50,50,50,50,2.28,2.95,1.61,1.27,1.12,1.40,100,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,50,0,100,50
