HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Freiburg,Werder Bremen,52.2,16.4,31.4,58.1,68.4,Feb 21 2025 - 7:30pm
Wolfsburg,Bochum,54.4,25.1,20.5,57.1,68.4,Feb 22 2025 - 2:30pm
Mainz 05,St. Pauli,61.1,20.3,18.6,54.6,58.1,Feb 22 2025 - 2:30pm
Borussia M'gladbach,Augsburg,35.5,45.7,18.8,59.6,62.5,Feb 22 2025 - 2:30pm
Holstein Kiel,Bayer Leverkusen,19.6,32.9,47.5,59.8,58.0,Feb 22 2025 - 2:30pm
Borussia Dortmund,Union Berlin,50.5,23.6,25.9,53.8,64.2,Feb 22 2025 - 5:30pm
RB Leipzig,Heidenheim,57.9,23.6,18.5,57.7,63.6,Feb 23 2025 - 2:30pm
Bayern München,Eintracht Frankfurt,51.0,21.9,27.1,58.5,66.7,Feb 23 2025 - 4:30pm
Hoffenheim,Stuttgart,32.5,23.1,44.4,61.5,61.3,Feb 23 2025 - 6:30pm
