HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Lecce,Udinese,29.6,33.6,36.8,55.6,59.9,Feb 21 2025 - 7:45pm
Parma,Bologna,10.3,30.5,59.2,51.5,52.0,Feb 22 2025 - 2:00pm
Venezia,Lazio,28.3,13.7,58.0,53.8,53.9,Feb 22 2025 - 2:00pm
Torino,AC Milan,28.2,24.7,47.1,56.1,51.8,Feb 22 2025 - 5:00pm
Inter Milan,Genoa,52.3,35.7,12.0,50.4,47.7,Feb 22 2025 - 7:45pm
Como,Napoli,19.9,19.8,60.3,53.4,66.6,Feb 23 2025 - 11:30am
Hellas Verona,Fiorentina,25.6,22.0,52.4,53.5,68.4,Feb 23 2025 - 2:00pm
Empoli,Atalanta,17.4,17.4,65.2,52.0,56.1,Feb 23 2025 - 5:00pm
Cagliari,Juventus,14.2,28.0,57.8,54.6,59.8,Feb 23 2025 - 7:45pm
Roma,Monza,51.7,32.7,15.6,54.5,59.8,Feb 24 2025 - 7:45pm
