HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Celta de Vigo,CA Osasuna,46.8,33.6,19.6,55.4,58.3,Feb 21 2025 - 8:00pm
Deportivo Alavés,RCD Espanyol,47.7,31.6,20.7,50.1,56.3,Feb 22 2025 - 1:00pm
Rayo Vallecano,Villarreal,33.1,32.2,34.7,58.4,56.9,Feb 22 2025 - 3:15pm
Valencia CF,Atlético Madrid,33.1,29.4,37.5,53.1,53.7,Feb 22 2025 - 5:30pm
UD Las Palmas,FC Barcelona,27.8,35.5,36.7,55.2,63.1,Feb 22 2025 - 8:00pm
Athletic Club Bilbao,Real Valladolid,61.7,23.1,15.2,48.1,69.5,Feb 23 2025 - 1:00pm
Real Madrid,Girona FC,64.4,15.7,19.9,56.0,79.7,Feb 23 2025 - 3:15pm
Getafe CF,Real Betis,36.6,37.4,26.0,51.0,52.9,Feb 23 2025 - 5:30pm
Real Sociedad,Leganés,48.3,27.8,23.9,49.7,61.7,Feb 23 2025 - 8:00pm
Sevilla FC,RCD Mallorca,52.6,14.6,32.8,53.8,57.7,Feb 24 2025 - 8:00pm
