HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Rennes,Reims,40.5,23.6,35.9,57.5,59.0,Feb 21 2025 - 7:45pm
Lille,Monaco,37.5,28.6,33.9,57.6,69.9,Feb 22 2025 - 4:00pm
Saint-Étienne,Angers SCO,30.7,20.3,49.0,55.5,57.6,Feb 22 2025 - 6:00pm
Auxerre,Olympique Marseille,41.8,28.9,29.3,55.3,69.8,Feb 22 2025 - 8:05pm
Nantes,Lens,17.9,39.6,42.5,54.8,66.0,Feb 23 2025 - 2:00pm
Le Havre,Toulouse,16.1,23.8,60.1,53.9,67.1,Feb 23 2025 - 4:15pm
Strasbourg,Brest,43.5,23.0,33.5,59.7,62.0,Feb 23 2025 - 4:15pm
Nice,Montpellier,59.9,16.8,23.3,64.1,62.2,Feb 23 2025 - 4:15pm
Olympique Lyonnais,PSG,19.4,31.1,49.5,63.5,66.8,Feb 23 2025 - 7:45pm
