HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Eyüpspor,Beşiktaş,29.3,36.6,34.1,56.0,56.5,Feb 21 2025 - 5:00pm
BB Bodrumspor,Hatayspor,43.6,31.6,24.8,55.0,70.9,Feb 21 2025 - 5:00pm
Sivasspor,Konyaspor,35.9,30.1,34.0,54.1,66.8,Feb 22 2025 - 10:30am
Antalyaspor,Kasımpaşa,24.0,41.9,34.1,56.1,65.8,Feb 22 2025 - 1:00pm
Samsunspor,Rizespor,52.2,21.9,25.9,57.1,66.6,Feb 22 2025 - 4:00pm
Kayserispor,Göztepe,19.5,46.4,34.1,57.5,60.6,Feb 23 2025 - 10:30am
Alanyaspor,Adana Demirspor,49.7,26.1,24.2,55.5,71.3,Feb 23 2025 - 1:00pm
Trabzonspor,Gazişehir Gaziantep,44.9,26.3,28.8,59.1,68.2,Feb 23 2025 - 4:00pm
Galatasaray,Fenerbahçe,29.8,33.8,36.4,62.4,77.3,Feb 24 2025 - 5:00pm
