HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Leicester City,Brentford,32.5,30.5,37.0,62.5,69.7,Feb 21 2025 - 8:00pm
Everton,Manchester United,36.0,40.1,23.9,54.4,71.0,Feb 22 2025 - 12:30pm
AFC Bournemouth,Wolverhampton Wanderers,51.8,34.0,14.2,61.4,71.3,Feb 22 2025 - 3:00pm
Arsenal,West Ham United,40.1,36.5,23.4,56.7,62.2,Feb 22 2025 - 3:00pm
Fulham,Crystal Palace,26.1,46.4,27.5,59.2,54.1,Feb 22 2025 - 3:00pm
Ipswich Town,Tottenham Hotspur,26.3,35.5,38.2,55.1,74.1,Feb 22 2025 - 3:00pm
Southampton,Brighton & Hove Albion,15.8,29.8,54.4,57.8,66.9,Feb 22 2025 - 3:00pm
Aston Villa,Chelsea,28.7,39.5,31.8,59.3,60.8,Feb 22 2025 - 5:30pm
Newcastle United,Nottingham Forest,36.4,32.4,31.2,57.1,57.0,Feb 23 2025 - 2:00pm
Manchester City,Liverpool,32.6,24.0,43.4,63.0,60.1,Feb 23 2025 - 4:30pm
