HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Manisa BBSK,Boluspor,22.3,29.9,47.8,60.1,52.1,Feb 21 2025 - 5:00pm
Keçiörengücü,Gençlerbirliği,27.4,37.8,34.8,52.0,51.7,Feb 22 2025 - 10:30am
Şanlıurfaspor,Kocaelispor,28.4,18.7,52.9,52.4,62.3,Feb 22 2025 - 10:30am
Çorum Belediyespor,Adanaspor,43.9,33.9,22.2,54.1,42.7,Feb 22 2025 - 1:00pm
İstanbulspor,Fatih Karagümrük,42.8,22.4,34.8,56.7,52.9,Feb 22 2025 - 4:00pm
Ankaragücü,Bandırmaspor,30.8,39.1,30.1,55.1,47.9,Feb 22 2025 - 4:00pm
BB Erzurumspor,76 Iğdır Belediyespor,49.4,14.5,36.1,49.4,47.2,Feb 23 2025 - 10:30am
Pendikspor,Erokspor,33.1,27.9,39.0,53.7,48.8,Feb 23 2025 - 10:30am
Amed,Yeni Malatyaspor,63.1,14.2,22.7,51.5,66.2,Feb 23 2025 - 1:00pm
Ümraniyespor,Sakaryaspor,19.0,58.1,22.9,59.8,46.1,Feb 23 2025 - 4:00pm
