HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5,DATE
Heracles,Utrecht,16.1,57.1,26.8,56.7,62.0,Jan 24 2025 - 7:00pm
PSV,NAC Breda,57.5,23.6,18.9,59.1,70.8,Jan 25 2025 - 5:45pm
Groningen,Heerenveen,59.5,18.9,21.6,55.3,65.3,Jan 25 2025 - 8:00pm
Fortuna Sittard,PEC Zwolle,27.9,26.4,45.7,59.7,73.2,Jan 26 2025 - 11:15am
RKC Waalwijk,Willem II,42.7,19.6,37.7,58.8,69.2,Jan 26 2025 - 1:30pm
AZ,Sparta Rotterdam,37.1,20.1,42.8,59.2,69.1,Jan 26 2025 - 3:45pm
Feyenoord,Almere City,33.5,37.6,28.9,56.9,56.0,Feb 22 2025 - 7:00pm
Ajax,Go Ahead Eagles,56.0,23.6,20.4,58.2,75.4,Feb 23 2025 - 1:30pm
Twente,NEC,57.3,20.3,22.4,59.8,69.2,Feb 23 2025 - 1:30pm
