HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Roma,Porto,46.3,36.6,17.1,57.2,69.4
Galatasaray,AZ,47.7,33.8,18.5,62.8,68.6
FCSB,PAOK,49.5,15.6,34.9,57.8,59.7
FK Bodo - Glimt,Twente,38.7,33.2,28.1,59.3,61.8
Viktoria Plzeň,Ferencváros,53.3,19.1,27.6,59.2,64.7
Real Sociedad,Midtjylland,48.1,11.0,40.9,61.0,56.0
Ajax,Union Saint-Gilloise,52.7,12.6,34.7,62.2,60.7
RSC Anderlecht,Fenerbahçe,42.2,37.3,20.5,55.8,62.1
