HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Yeni Malatyaspor,Manisa BBSK,16.4,4.7,78.9,55.1,69.1
Kocaelispor,Çorum Belediyespor,52.9,14.2,32.9,52.4,55.3
76 Iğdır Belediyespor,Keçiörengücü,17.9,36.5,45.6,52.5,57.4
Boluspor,Amed,34.9,37.2,27.9,55.2,49.0
Gençlerbirliği,Pendikspor,51.1,12.9,36.0,52.5,56.3
Erokspor,BB Erzurumspor,23.6,28.1,48.3,51.5,64.5
Bandırmaspor,İstanbulspor,43.8,18.1,38.1,59.5,51.0
Adanaspor,Ümraniyespor,33.4,20.3,46.3,56.8,65.2
Fatih Karagümrük,Şanlıurfaspor,67.6,5.1,27.3,53.5,58.5
Sakaryaspor,Ankaragücü,54.9,12.0,33.1,55.3,57.5
