HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Hamburger SV,Kaiserslautern,23.5,48.1,28.4,61.2,64.9
Hertha BSC,Nürnberg,26.9,21.2,51.9,60.3,62.2
Karlsruher SC,Magdeburg,12.4,25.7,61.9,60.4,71.3
Ulm,Elversberg,21.3,30.2,48.5,58.8,58.2
Preußen Münster,Jahn Regensburg,35.6,29.9,34.5,57.2,55.3
Hannover 96,Paderborn,34.0,32.2,33.8,56.6,53.8
Köln,Fortuna Düsseldorf,18.4,43.2,38.4,59.6,69.3
Darmstadt 98,Schalke 04,31.2,38.5,30.3,57.0,57.9
Greuther Fürth,Eintracht Braunschweig,39.6,24.0,36.4,59.8,64.0
