HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Girona FC,Getafe CF,41.6,9.0,49.4,48.1,60.6
Leganés,Deportivo Alavés,50.9,13.1,36.0,49.8,60.3
CA Osasuna,Real Madrid,25.7,40.2,34.1,57.3,59.6
Atlético Madrid,Celta de Vigo,48.9,25.6,25.5,51.5,59.6
Villarreal,Valencia CF,43.7,30.1,26.2,55.0,60.0
RCD Espanyol,Athletic Club Bilbao,23.1,41.7,35.2,52.0,56.4
Real Valladolid,Sevilla FC,32.8,23.5,43.7,50.5,56.4
RCD Mallorca,UD Las Palmas,39.6,18.6,41.8,53.0,62.0
Real Betis,Real Sociedad,53.7,17.1,29.2,55.1,61.9
FC Barcelona,Rayo Vallecano,37.1,27.3,35.6,58.2,63.5
