HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Heracles,Utrecht,13.9,54.5,31.6,57.9,63.6
PSV,NAC Breda,57.0,16.6,26.4,58.8,70.5
Groningen,Heerenveen,55.9,20.2,23.9,56.6,62.5
Fortuna Sittard,PEC Zwolle,31.1,27.2,41.7,55.3,73.7
RKC Waalwijk,Willem II,41.7,22.4,35.9,59.7,63.7
AZ,Sparta Rotterdam,32.3,23.2,44.5,60.0,66.6
Feyenoord,Almere City,37.7,30.1,32.2,57.8,62.5
Ajax,Go Ahead Eagles,52.9,25.1,22.0,56.9,75.3
Twente,NEC,52.6,25.6,21.8,60.6,64.8
