HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Rennes,Reims,46.8,19.4,33.8,54.9,58.9
Lille,Monaco,33.9,32.5,33.6,57.5,65.6
Saint-Étienne,Angers SCO,36.0,17.3,46.7,59.6,62.9
Auxerre,Olympique Marseille,39.7,31.0,29.3,57.7,67.5
Nantes,Lens,20.1,35.2,44.7,57.8,66.0
Le Havre,Toulouse,26.3,20.0,53.7,49.9,74.1
Strasbourg,Brest,42.4,23.7,33.9,58.2,65.3
Nice,Montpellier,54.8,20.8,24.4,61.6,55.7
Olympique Lyonnais,PSG,17.3,36.2,46.5,61.9,65.8
