HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Bologna,Torino,36.3,50.7,13.0,50.3,54.2
Atalanta,Cagliari,57.7,26.0,16.3,55.3,52.0
Lazio,Napoli,24.6,44.8,30.6,52.4,63.2
AC Milan,Hellas Verona,60.9,23.1,16.0,53.4,51.5
Fiorentina,Como,45.6,31.5,22.9,55.6,55.1
Monza,Lecce,26.9,28.4,44.7,52.6,62.6
Udinese,Empoli,52.1,27.8,20.1,51.2,70.7
Parma,Roma,40.2,22.0,37.8,59.0,55.7
Juventus,Inter Milan,30.7,45.7,23.6,52.0,43.1
Genoa,Venezia,34.5,49.6,15.9,51.5,46.9
