HomeTeam,AwayTeam,MS1,MSX,MS2,KG VAR,OVER2.5
Adana Demirspor,Antalyaspor,31.8,27.7,40.5,59.7,58.8
Gazişehir Gaziantep,Sivasspor,60.3,22.3,17.4,55.9,70.5
İstanbul Başakşehir,BB Bodrumspor,54.2,25.9,19.9,57.6,70.5
Beşiktaş,Trabzonspor,56.4,23.5,20.1,54.9,71.3
Hatayspor,Alanyaspor,28.9,42.1,29.0,56.4,55.7
Eyüpspor,Kayserispor,45.4,35.6,19.0,58.2,72.7
Konyaspor,Samsunspor,24.7,42.9,32.4,54.9,68.1
Fenerbahçe,Kasımpaşa,44.9,32.9,22.2,56.3,73.3
Rizespor,Galatasaray,26.6,27.6,45.8,61.3,70.6
